seatNo,name,email
F-115,Pham Trang,phamtrang890@gmail.com
B-304,Bui Minh,buiminh636@yahoo.com
A-21,Do Khoa An,dokhoaan115@yahoo.com
A-376,Phan Binh Lan,phanbinhlan303@hotmail.com
D-172,Vo An,voan561@gmail.com
E-386,Ho Trang Xuan,hotrangxuan333@hotmail.com
SVIP-286,Huynh Son,huynhson586@hotmail.com
F-425,Vo Minh,vominh45@yahoo.com
C-144,Vu Nga Cuong,vungacuong372@example.com
B-248,Duong Vy Yen,duongvyyen18@yahoo.com
VVIP-413,Huynh Lan,huynhlan599@hotmail.com
VVIP-144,Tran Quang Son,tranquangson710@hotmail.com
F-19,Vu Quang,vuquang784@outlook.com
SVIP-459,Nguyen Quang An,nguyenquangan756@outlook.com
F-107,Duong Khoa Khoa,duongkhoakhoa57@company.vn
C-25,Vu Khoa Phuc,vukhoaphuc475@outlook.com
VVIP-104,Duong Trang,duongtrang297@company.vn
F-92,Duong Xuan,duongxuan654@gmail.com
F-44,Ho Cuong,hocuong660@yahoo.com
B-464,Vo Minh,vominh365@yahoo.com
A-151,Ngo Xuan,ngoxuan214@example.com
E-96,Vo Giang,vogiang308@outlook.com
D-40,Ly Phuc Phuc,lyphucphuc486@hotmail.com
VVIP-227,Bui Linh,builinh691@hotmail.com
E-490,Hoang Quang Vy,hoangquangvy826@gmail.com
A-338,Duong Binh Linh,duongbinhlinh563@company.vn
SVIP-53,Tran Son,transon42@yahoo.com
VVIP-489,Ngo Giang,ngogiang473@gmail.com
VIP-75,Bui Minh,buiminh226@gmail.com
VIP-400,Vo Khoa,vokhoa786@company.vn
F-458,Phan Khoa,phankhoa595@company.vn
C-6,Phan Tuan,phantuan997@company.vn
B-434,Ly Giang,lygiang486@hotmail.com
F-294,Ho Yen Oanh,hoyenoanh505@outlook.com
D-251,Le Linh Yen,lelinhyen711@yahoo.com
B-113,Dang Em Son,dangemson549@example.com
F-78,Tran Khoa,trankhoa935@gmail.com
C-176,Duong Phuc An,duongphucan864@gmail.com
VVIP-367,Huynh Trang,huynhtrang237@outlook.com
B-114,Tran Nga,trannga807@yahoo.com
VIP-201,Do Oanh Nga,dooanhnga515@company.vn
B-269,Do Uy Xuan,douyxuan205@example.com
VVIP-56,Huynh Dung,huynhdung784@outlook.com
C-68,Dang Son Trang,dangsontrang857@outlook.com
B-425,Le Phong Son,lephongson923@hotmail.com
B-162,Tran Vy,tranvy808@hotmail.com
E-480,Ly Giang,lygiang926@hotmail.com
VIP-21,Do Tuan An,dotuanan926@example.com
